i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        3 1.040e+04 7.090e+07 9.290e+04 6.830e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.04e-20 2.59e-16 1.72e-11 3.93e-07   0.0011    0.999
1        3 1.040e+04 7.090e+07 1.260e+05 9.250e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 7.74e-17 6.95e-12 2.14e-07 0.000814    0.999
1        3 1.040e+04 7.090e+07 1.700e+05 1.250e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.31e-17 2.81e-12 1.17e-07 0.000602    0.999
1        3 1.040e+04 7.090e+07 2.300e+05 1.690e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 6.89e-18 1.13e-12  6.4e-08 0.000445      1.0
1        3 1.040e+04 7.090e+07 3.110e+05 2.290e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.06e-18 4.58e-13  3.5e-08 0.000329      1.0
1        3 1.040e+04 7.090e+07 4.210e+05 3.100e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 6.14e-19 1.85e-13 1.91e-08 0.000243      1.0
1        3 1.040e+04 7.090e+07 5.700e+05 4.200e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.82e-19 7.45e-14 1.04e-08  0.00018      1.0
1        3 1.040e+04 7.090e+07 7.720e+05 5.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 5.47e-20 3.01e-14  5.7e-09 0.000133      1.0
1        3 1.040e+04 7.090e+07 1.040e+06 7.680e+07    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.66e-20 1.22e-14 3.11e-09 9.81e-05      1.0
1        3 1.040e+04 7.090e+07 1.410e+06 1.040e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 4.91e-15  1.7e-09 7.25e-05      1.0
1        3 1.040e+04 7.090e+07 1.910e+06 1.410e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.98e-15 9.29e-10 5.36e-05      1.0
1        3 1.040e+04 7.090e+07 2.590e+06 1.900e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    8e-16 5.08e-10 3.96e-05      1.0
1        3 1.040e+04 7.090e+07 3.500e+06 2.570e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 3.23e-16 2.77e-10 2.93e-05      1.0
1        3 1.040e+04 7.090e+07 4.730e+06 3.480e+08    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20  1.3e-16 1.51e-10 2.16e-05      1.0
