       x        z    i    j inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.90e+09 1.34e+11    2   20     -1        0  3.03e+07  4.35e+07  1.13e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 1.76e+11    2   21     -1        0  2.63e+07  3.83e+07  1.26e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 2.30e+11    2   22     -1        0  2.21e+07  3.37e+07  1.37e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 3.01e+11    2   23     -1        0  1.81e+07  2.96e+07  1.45e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 3.94e+11    2   24     -1        0  1.45e+07  2.59e+07  1.51e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 5.15e+11    2   25     -1        0  1.14e+07  2.27e+07  1.56e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 6.74e+11    2   26     -1        0  8.95e+06  1.99e+07  1.59e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 8.82e+11    2   27     -1        0  6.95e+06  1.74e+07  1.61e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 1.15e+12    2   28     -1        0  5.37e+06  1.53e+07  1.62e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.90e+09 1.51e+12    2   29     -1        0  4.14e+06  1.33e+07  1.63e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
4.85e+09 3.50e+08    3    0      0        0  0.00e+00  1.57e+08  0.00e+00  0.00e+00 -3.62e-02 -4.59e-11 -1.81e-02 -1.14e-10 -2.24e-08  0.00e+00  0.00e+00  5.07e-01  1.32e-03  5.07e-01  1.00e+00  3.50e+03 
4.85e+09 8.08e+08    3    1      0        0  7.07e+05  1.49e+08  1.27e+06  1.54e-04 -3.45e-02  8.02e-04 -1.77e-02  1.63e-04 -9.37e-03 -9.44e-05 -3.36e-10  1.64e-03  2.08e-03  2.68e-02  1.00e+00  1.08e+03 
4.85e+09 1.06e+09    3    2      0        0  8.90e+05  1.47e+08  1.65e+06  1.90e-04 -3.41e-02  8.87e-04 -1.76e-02  2.06e-04 -8.88e-03 -1.24e-04 -4.98e-10  1.90e-03  2.44e-03  2.65e-02  1.00e+00  1.41e+03 
4.85e+09 1.38e+09    3    3      0        0  1.15e+06  1.45e+08  2.23e+06  2.39e-04 -3.35e-02  9.72e-04 -1.74e-02  2.66e-04 -8.32e-03 -1.71e-04 -7.66e-10  2.21e-03  2.89e-03  2.61e-02  1.00e+00  1.85e+03 
4.85e+09 1.81e+09    3    4      0        0  1.53e+06  1.42e+08  3.12e+06  3.06e-04 -3.28e-02  1.05e-03 -1.71e-02  3.53e-04 -7.68e-03 -2.45e-04 -1.21e-09  2.58e-03  3.46e-03  2.57e-02  1.00e+00  2.42e+03 
4.85e+09 2.37e+09    3    5      0        0  2.06e+06  1.38e+08  4.48e+06  3.96e-04 -3.20e-02  1.13e-03 -1.68e-02  4.76e-04 -6.97e-03 -3.65e-04 -1.97e-09  3.03e-03  4.18e-03  2.52e-02  1.00e+00  3.17e+03 
4.85e+09 3.10e+09    3    6      0        0  2.80e+06  1.34e+08  6.57e+06  5.16e-04 -3.10e-02  1.20e-03 -1.64e-02  6.47e-04 -6.22e-03 -5.56e-04 -3.27e-09  3.57e-03  5.08e-03  2.46e-02  1.00e+00  4.15e+03 
